molecule_chembl_id,median_ic50_nM,n_measurements,min_ic50_nM,max_ic50_nM,pIC50,canonical_smiles,valid_smiles
CHEMBL117804,4100.0,1,4100.0,4100.0,5.3872161432802645,c1ccc(CCNc2ncnc3ccccc23)cc1,True
CHEMBL118000,2290.0,1,2290.0,2290.0,5.6401645176601125,N#Cc1cnc2ccc(NC(=O)/C=C/CN3CCOCC3)cc2c1Nc1ccc(F)c(Cl)c1,True
CHEMBL118109,18800.0,2,18600.0,19000.0,4.72584215073632,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O,True
CHEMBL118130,6.0,1,6.0,6.0,8.221848749616356,Oc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,True
CHEMBL118205,8900.0,2,5300.0,12500.0,5.050609993355087,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3o2)c1O,True
CHEMBL118321,22000.0,2,8000.0,36000.0,4.657577319177793,COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2C(=O)O)c1O,True
CHEMBL118904,270.0,1,270.0,270.0,6.568636235841012,O=[N+]([O-])c1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,True
CHEMBL119033,139.0,1,139.0,139.0,6.856985199745905,COc1cccc2ncnc(Nc3cccc(Br)c3)c12,True
CHEMBL119156,14200.0,2,3400.0,25000.0,4.847711655616943,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O,True
CHEMBL119708,8000.0,1,8000.0,8000.0,5.096910013008056,O=[N+]([O-])c1cccc2ncnc(NCc3ccccc3)c12,True
CHEMBL1198361,85.0,1,85.0,85.0,7.070581074285707,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,True
CHEMBL1198370,14.55,2,13.6,15.5,7.8371370066780734,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,True
CHEMBL119923,15400.0,2,14800.0,16000.0,4.812479279163537,COc1cc(/C=C(\C#N)C(N)=O)cc(CSCc2ccc(Cl)cc2)c1O,True
CHEMBL119977,19.0,1,19.0,19.0,7.721246399047171,Clc1cccc(Nc2[nH]cnc3nnc(-c4ccccc4)c2-3)c1,True
CHEMBL119982,870.0,1,870.0,870.0,6.060480747381382,Clc1cccc(Nc2[nH]nc3ncnc(NCc4ccccc4)c23)c1,True
CHEMBL119987,18855.0,2,710.0,37000.0,4.724573463258361,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2C(=O)O)c1O,True
CHEMBL1200558,5377.0,1,5377.0,5377.0,5.2694599635228805,CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,True
CHEMBL1200679,2188.4,1,2188.4,2188.4,5.659873293894568,[Cl-].[Cl-].[Zn+2],True
CHEMBL120069,130.0,1,130.0,130.0,6.886056647693163,Cc1cccc(Nc2[nH]cnc3nnc(Nc4cccc(Cl)c4)c2-3)c1,True
